library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Init,Init.Data.Nat.Lemmas,Nat.le_and_le_add_one_iff,_private.Init.Data.Nat.Lemmas.0.Nat.le_and_le_add_one_iff._proof_1_1,4,removed,
Init,Init.Data.Nat.Lemmas,Nat.le_iff_lt_add_one,_private.Init.Data.Nat.Lemmas.0.Nat.le_iff_lt_add_one._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.left_eq_add,_private.Init.Data.Nat.Lemmas.0.Nat.left_eq_add._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.lt_sub_iff_add_lt',_private.Init.Data.Nat.Lemmas.0.Nat.lt_sub_iff_add_lt'._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.max_eq_zero_iff,_private.Init.Data.Nat.Lemmas.0.Nat.max_eq_zero_iff._proof_1_1,4,removed,
Init,Init.Data.Nat.Lemmas,Nat.min_eq_zero_iff,_private.Init.Data.Nat.Lemmas.0.Nat.min_eq_zero_iff._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.one_lt_iff_ne_zero_and_ne_one,_private.Init.Data.Nat.Lemmas.0.Nat.one_lt_iff_ne_zero_and_ne_one._proof_1_3,6,removed,
Init,Init.Data.Nat.Lemmas,Nat.pow_eq_zero,_private.Init.Data.Nat.Lemmas.0.Nat.pow_eq_zero._proof_1_3,5,removed,
Init,Init.Data.Nat.Lemmas,Nat.pow_lt_pow_iff_pow_mul_le_pow,_private.Init.Data.Nat.Lemmas.0.Nat.pow_lt_pow_iff_pow_mul_le_pow._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.right_eq_add,_private.Init.Data.Nat.Lemmas.0.Nat.right_eq_add._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.sub_lt_iff_lt_add,_private.Init.Data.Nat.Lemmas.0.Nat.sub_lt_iff_lt_add._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.sub_lt_iff_lt_add',_private.Init.Data.Nat.Lemmas.0.Nat.sub_lt_iff_lt_add'._proof_1_1,2,removed,
Init,Init.Data.Nat.Lemmas,Nat.sub_lt_sub_iff_right,_private.Init.Data.Nat.Lemmas.0.Nat.sub_lt_sub_iff_right._proof_1_1,2,removed,
Init,Init.Data.Nat.Mod,Nat.mul_lt_mul_left,_private.Init.Data.Nat.Mod.0.Nat.mul_lt_mul_left._proof_1_1,2,removed,
Init,Init.Data.Nat.Power2.Lemmas,Nat.and_sub_one_testBit_log2,_private.Init.Data.Nat.Power2.Lemmas.0.Nat.and_sub_one_testBit_log2._proof_1_2,5,removed,
Init,Init.Data.Nat.Power2.Lemmas,Nat.and_sub_one_testBit_log2,_private.Init.Data.Nat.Power2.Lemmas.0.Nat.and_sub_one_testBit_log2._proof_1_3,3,removed,
Init,Init.Data.Nat.ToString,Nat.toDigits_of_base_le,_private.Init.Data.Nat.ToString.0.Nat.toDigits_of_base_le._proof_1_1,2,removed,
Init,Init.Data.Range.Lemmas,Std.Legacy.Range.forIn'_loop_eq_forIn'_range',_private.Init.Data.Range.Lemmas.0.Std.Legacy.Range.forIn'_loop_eq_forIn'_range'._proof_1_6,2,removed,
Init,Init.Data.Range.Lemmas,Std.Legacy.Range.forM_loop_eq_forM_range',_private.Init.Data.Range.Lemmas.0.Std.Legacy.Range.forM_loop_eq_forM_range'._proof_1_3,2,removed,
Init,Init.Data.Range.Lemmas,Std.Legacy.Range.size_eq,_private.Init.Data.Range.Lemmas.0.Std.Legacy.Range.size_eq._proof_1_2,2,removed,
